"","Pop_1","Pop_2","Pop_3"
"loc0716",0.5179,0.5476,0.5111
"loc0717",0,0.2619,0
"loc0718",0.4821,0.4524,0.4778
"loc0719",0,0,0.1889
"loc0720",0.4107,0.5238,0.4778
"loc0721",0.2321,0,0.1
"loc0722",0.5,0.5,0.5111
"loc0723",0,0.1429,0.1
"loc0724",0,0.1429,0.2667
"loc0725",0.5,0.5,0.4889
"loc0726",0.5,0.5,0.4889
"loc0727",0.5,0.4762,0.5
"loc0728",0.5,0.4762,0.5
"loc0729",0.5,0.4762,0.5
"loc0730",0.5,0.4762,0.5
"loc0731",0.5,0.4762,0.5
"loc0732",0.5,0.4762,0.5
"loc0733",0.5,0.4762,0.5
"loc0734",0.5,0.4762,0.5
"loc0735",0.5,0.4762,0.5
"loc0736",0.5,0.4762,0.4889
"loc0737",0.5,0.4762,0.5
"loc0738",0.5,0.4762,0.5
"loc0739",0.5,0.4762,0.5
"loc0740",0.5,0.4762,0.5
"loc0741",0.5,0.4762,0.5
"loc0742",0.5,0.4762,0.5
"loc0743",0.5,0.4762,0.4889
"loc0744",0.5,0.4762,0.4889
"loc0745",0.5,0.4762,0.4889
"loc0746",0.5,0.4762,0.4889
"loc0747",0.5,0.4762,0.4889
"loc0748",0.5,0.4762,0.5
"loc0749",0.5,0.4762,0.5
"loc0750",0.5,0.4762,0.5
"loc0751",0,0.1429,0.2667
"loc0752",0.3214,0.1429,0.1
"loc0753",0,0.1429,0.1
"loc0754",0.125,0,0.1
"loc0755",0,0.1429,0.1
"loc0756",0.4821,0.5,0.4889
"loc0757",0.125,0,0.2667
"loc0758",0,0,0.1889
"loc0759",0,0,0.1889
"loc0760",0,0,0.1889
"loc0761",0.5357,0.4762,0.5222
"loc0762",0.4643,0.5238,0.3889
"loc0763",0.2321,0,0.1889
"loc0764",0.2321,0,0.1889
